attendance,study_hours,IAT_marks,assignment,extracurricular_activity,consistency_rating,predicted_grade,confidence_level,predictor
69.95,0.12,87.37,94.6,Photography Club,1,B+,50.0,pass
52.74,0.09,92.17,88.76,Photography Club,8,B+,98.14,pass
66.76,3.57,43.95,76.78,Entrepreneurship Cell,9,B,100.0,pass
90.14,9.26,49.89,58.58,NSS,2,B+,50.0,pass
50.23,2.29,50.23,61.63,Sports,9,B,100.0,pass
66.67,6.34,56.39,98.02,Art & Design,5,B+,62.44,pass
69.91,2.22,57.53,97.26,Photography Club,8,B+,91.14,pass
76.87,3.22,68.12,37.22,Art & Design,7,B,85.33,pass
95.99,8.48,41.19,84.89,Volunteering,7,A-,88.58,pass
67.32,7.29,78.39,35.78,Entrepreneurship Cell,4,B+,57.37,pass
67.35,0.95,41.73,37.08,Student Council,2,C,50.0,fail
86.88,4.29,51.72,74.09,Music/Band,5,B+,63.99,pass
72.61,0.29,65.23,52.4,Sports,3,C,50.0,fail
61.23,4.81,85.75,94.52,Volunteering,9,A-,100.0,pass
72.62,6.62,81.76,27.12,Music/Band,6,B+,78.39,pass
57.04,1.19,75.19,60.92,Sports,1,C,50.0,fail
58.82,2.89,40.9,93.48,Music/Band,3,B,50.0,pass
74.92,3.98,68.29,92.33,Drama/Theatre,4,B+,56.94,pass
70.95,9.2,36.12,32.52,Volunteering,9,B,100.0,pass
95.74,9.93,56.42,49.33,Entrepreneurship Cell,6,A-,75.65,pass
68.12,0.45,58.95,69.53,Entrepreneurship Cell,4,B,52.49,pass
79.03,7.61,32.79,32.75,Student Council,1,C,50.0,fail
81.61,3.72,49.18,97.44,Sports,8,B+,96.34,pass
50.65,3.92,96.9,93.18,Art & Design,2,B+,50.0,pass
83.18,7.54,96.75,33.36,Volunteering,8,A-,90.52,pass
58.9,9.18,54.66,29.69,Sports,6,B,70.1,pass
98.05,9.51,33.02,26.83,Sports,8,B+,90.22,pass
57.43,5.77,42.54,92.76,Entrepreneurship Cell,6,B+,70.08,pass
70.73,3.57,57.46,35.49,Music/Band,5,C,61.1,fail
54.27,7.88,96.34,53.3,Photography Club,5,B+,62.39,pass
99.84,2.51,39.88,55.91,Music/Band,10,B,100.0,pass
75.11,5.64,83.45,67.92,Technical Club,10,A-,100.0,pass
79.77,3.59,37.61,25.74,Volunteering,8,C,93.06,fail
53.35,6.57,98.69,38.14,Club Activity,7,B+,81.27,pass
87.5,2.4,56.71,94.52,Cultural Activity,8,B+,95.46,pass
60.5,1.92,84.27,92.67,Club Activity,8,B+,98.58,pass
94.9,9.18,53.98,82.5,Sports,7,A-,86.78,pass
60.26,1.02,73.94,21.55,Technical Club,2,C,50.0,fail
59.53,5.06,43.44,46.16,Entrepreneurship Cell,9,B,100.0,pass
51.83,2.21,40.22,70.24,Sports,7,C,87.15,fail
73.6,0.39,95.66,42.02,Club Activity,6,B,77.28,pass
78.24,0.36,94.24,92.77,Photography Club,9,A-,100.0,pass
53.29,1.75,92.12,70.71,Sports,1,B,50.0,pass
88.78,8.67,73.78,25.75,Music/Band,2,B+,50.0,pass
72.66,2.82,86.58,92.72,Volunteering,1,B+,50.0,pass
76.22,9.5,34.83,96.62,Photography Club,10,A-,100.0,pass
72.04,5.82,53.44,26.22,Art & Design,3,C,50.0,fail
70.04,4.37,51.96,62.59,Club Activity,5,B,68.18,pass
77.98,5.8,74.5,44.27,Cultural Activity,1,B,50.0,pass
57.76,5.17,54.92,51.43,Cultural Activity,4,B,59.92,pass
59.1,7.59,40.4,34.37,Music/Band,8,B,91.83,pass
93.09,2.82,71.75,66.25,Volunteering,6,B+,74.7,pass
97.31,3.53,87.01,96.64,NSS,1,A-,50.0,pass
68.67,8.94,56.75,60.25,NSS,1,B+,50.0,pass
63.54,9.46,39.26,26.63,Student Council,3,B,50.0,pass
82.2,8.93,43.77,69.6,Student Council,10,A-,100.0,pass
70.44,4.19,46.62,47.22,Club Activity,8,B,93.95,pass
51.27,7.8,50.99,88.47,Music/Band,8,B+,91.77,pass
57.81,4.76,75.0,54.77,Music/Band,3,B,50.0,pass
85.8,4.98,72.07,35.43,Sports,7,B+,83.73,pass
82.95,2.05,78.73,35.29,Cultural Activity,3,B,50.0,pass
51.35,5.91,55.38,81.5,Cultural Activity,4,B+,59.95,pass
61.1,1.86,87.68,41.25,Photography Club,9,B,100.0,pass
61.55,3.32,44.29,81.38,Cultural Activity,4,B,57.26,pass
83.59,8.55,62.83,36.47,Technical Club,3,B+,50.0,pass
50.99,2.07,86.07,45.73,Volunteering,5,B,60.3,pass
55.21,0.71,42.61,57.24,Drama/Theatre,7,C,81.05,fail
90.0,0.69,37.69,95.46,Entrepreneurship Cell,5,B,69.65,pass
58.93,9.41,91.86,94.54,Entrepreneurship Cell,4,A,59.41,pass
82.64,5.07,54.01,36.55,Entrepreneurship Cell,8,B,91.94,pass
61.91,4.09,77.87,48.66,Sports,4,B,51.62,pass
54.97,8.11,31.77,31.95,NSS,2,C,50.0,fail
62.16,8.36,78.3,60.8,Music/Band,10,A-,100.0,pass
86.11,3.32,52.13,56.85,NSS,6,B,75.7,pass
92.78,6.94,33.9,92.06,Technical Club,2,B+,50.0,pass
91.51,7.71,72.69,94.4,NSS,3,A-,50.0,pass
69.86,6.55,46.86,50.69,Cultural Activity,1,B,50.0,pass
83.4,1.52,57.08,59.34,Art & Design,5,B,69.22,pass
60.25,8.76,35.64,91.7,Sports,9,A-,100.0,pass
64.66,5.39,40.3,84.54,Art & Design,2,B,50.0,pass
94.82,2.82,50.86,20.29,Student Council,7,C,87.9,fail
50.65,4.25,36.28,45.6,Art & Design,5,C,68.18,fail
54.28,0.38,93.76,53.74,Drama/Theatre,2,B,50.0,pass
60.39,1.28,30.42,38.38,Photography Club,8,C,93.4,fail
51.33,7.66,63.87,35.97,Music/Band,6,B,79.36,pass
59.07,0.0,38.63,23.02,Technical Club,4,C,51.65,fail
79.15,4.17,51.54,71.47,Entrepreneurship Cell,4,B,50.42,pass
71.07,5.23,94.82,41.0,Music/Band,2,B+,50.0,pass
94.63,0.55,41.32,24.19,Drama/Theatre,3,C,50.0,fail
90.87,9.73,97.61,38.48,Music/Band,7,A-,87.72,pass
67.09,2.26,44.41,84.15,Art & Design,3,B,50.0,pass
62.97,3.04,81.91,88.12,Volunteering,5,B+,65.33,pass
68.98,3.04,68.27,58.65,Music/Band,10,B+,100.0,pass
79.51,2.3,91.91,53.29,Student Council,6,B+,75.89,pass
63.4,0.01,68.78,98.23,Sports,6,B+,77.78,pass
81.21,7.29,67.42,36.05,Sports,4,B+,50.93,pass
70.47,9.67,43.68,37.23,NSS,6,B,71.73,pass
77.6,2.24,41.64,43.35,Club Activity,3,C,50.0,fail
71.81,6.63,94.15,33.82,Art & Design,7,B+,85.94,pass
64.72,7.42,52.95,50.35,Cultural Activity,7,B+,88.87,pass
97.42,8.48,56.05,92.87,Drama/Theatre,4,A-,56.71,pass
88.18,4.23,83.19,69.23,Technical Club,2,B+,50.0,pass
57.01,3.03,53.72,52.96,Photography Club,7,B,80.63,pass
93.42,3.25,96.64,94.75,Art & Design,3,A-,50.0,pass
74.37,7.13,81.65,23.88,Entrepreneurship Cell,1,B,50.0,pass
94.73,8.17,71.82,36.82,Sports,2,B+,50.0,pass
89.99,1.82,91.66,65.27,NSS,10,A-,100.0,pass
71.26,3.71,33.47,69.24,Photography Club,9,B,100.0,pass
51.12,9.02,47.99,23.16,Entrepreneurship Cell,8,B,98.89,pass
63.43,8.07,62.55,52.24,Photography Club,6,B+,78.81,pass
77.08,9.85,45.89,71.93,Music/Band,6,A-,77.58,pass
81.67,7.54,82.07,75.85,Cultural Activity,1,A-,50.0,pass
62.89,3.93,94.34,71.05,Cultural Activity,2,B+,50.0,pass
56.97,5.91,59.66,45.65,Club Activity,4,B,55.32,pass
91.75,6.61,53.95,27.48,Volunteering,3,B,50.0,pass
99.22,0.78,97.31,54.17,Photography Club,1,B+,50.0,pass
76.28,5.44,61.14,30.3,Club Activity,8,B,97.58,pass
58.58,7.09,64.23,95.81,Music/Band,7,A-,89.11,pass
63.62,1.67,54.62,58.01,Photography Club,4,C,50.15,fail
50.92,7.81,93.67,45.38,Art & Design,9,B+,100.0,pass
95.71,5.84,69.83,81.3,Student Council,4,A-,59.38,pass
55.89,9.52,83.35,59.84,Drama/Theatre,1,B+,50.0,pass
78.83,0.42,86.83,44.8,Cultural Activity,10,B,100.0,pass
63.7,2.65,53.93,84.96,Technical Club,1,B,50.0,pass
77.71,6.02,60.36,89.37,Art & Design,1,B+,50.0,pass
82.57,2.97,89.39,73.84,Technical Club,1,B+,50.0,pass
91.49,7.14,55.43,23.76,NSS,4,B,56.3,pass
60.32,7.59,85.58,65.31,Technical Club,1,B+,50.0,pass
50.55,1.03,95.87,81.06,Cultural Activity,2,B,50.0,pass
56.84,5.14,73.62,30.92,Entrepreneurship Cell,4,B,53.32,pass
95.0,5.09,81.91,38.29,Cultural Activity,7,B+,86.24,pass
93.69,3.69,86.36,90.6,Cultural Activity,2,A-,50.0,pass
79.87,9.33,89.15,21.61,Art & Design,8,A-,99.37,pass
80.03,8.28,57.65,80.22,Entrepreneurship Cell,7,A-,88.03,pass
83.25,6.97,33.59,57.9,Entrepreneurship Cell,9,B+,100.0,pass
58.77,7.14,58.13,55.74,Art & Design,6,B+,76.35,pass
95.72,4.62,77.16,20.57,Entrepreneurship Cell,4,B,58.56,pass
70.94,9.21,61.52,85.55,Drama/Theatre,6,A-,74.91,pass
69.16,6.95,82.43,48.79,Sports,4,B+,52.17,pass
75.95,7.29,54.99,63.26,Volunteering,7,B+,81.7,pass
52.35,8.62,74.43,74.18,Music/Band,9,A-,100.0,pass
58.31,2.74,43.05,76.21,Music/Band,3,C,50.0,fail
86.9,8.07,82.46,96.48,NSS,3,A,50.0,pass
54.14,1.95,68.2,62.51,Club Activity,2,C,50.0,fail
80.16,3.45,44.28,51.98,Drama/Theatre,1,C,50.0,fail
62.27,3.36,50.43,96.3,Sports,1,B,50.0,pass
69.46,9.79,82.4,71.37,Student Council,3,A-,50.0,pass
64.43,8.57,63.78,43.85,NSS,7,B+,86.75,pass
67.78,7.01,45.12,30.12,Photography Club,9,B,100.0,pass
85.95,7.27,97.71,87.4,Art & Design,2,A,50.0,pass
64.86,5.62,80.06,48.97,Photography Club,7,B+,84.99,pass
78.32,9.47,97.0,72.84,Sports,1,A-,50.0,pass
73.8,4.96,59.9,57.67,Entrepreneurship Cell,2,B,50.0,pass
83.18,3.81,63.26,35.91,Photography Club,6,B,70.67,pass
96.84,1.63,92.86,68.13,Cultural Activity,5,B+,68.96,pass
86.63,7.86,66.75,24.85,Art & Design,8,B+,96.92,pass
60.75,7.34,79.51,53.07,Photography Club,2,B+,50.0,pass
51.56,3.84,47.65,63.73,Photography Club,1,C,50.0,fail
63.11,0.25,61.27,54.88,Club Activity,7,C,89.75,fail
79.75,8.39,38.64,79.89,Club Activity,6,B+,76.81,pass
52.57,0.11,44.42,86.23,Music/Band,8,B,94.17,pass
74.82,7.04,30.07,81.7,Volunteering,8,B+,97.02,pass
79.84,9.7,32.75,23.11,Volunteering,2,B,50.0,pass
66.71,4.38,98.41,35.53,Student Council,8,B+,97.8,pass
88.55,2.35,46.96,62.93,Art & Design,6,B,74.78,pass
55.33,7.05,76.43,94.79,Art & Design,9,A-,100.0,pass
53.76,8.17,88.74,86.8,Club Activity,7,A-,80.11,pass
86.41,5.46,68.55,87.4,Cultural Activity,2,B+,50.0,pass
74.77,9.67,40.72,44.26,Cultural Activity,8,B+,96.03,pass
84.42,0.52,80.97,54.36,Technical Club,9,B+,100.0,pass
71.74,5.05,72.02,57.66,Cultural Activity,7,B+,89.2,pass
62.32,7.18,81.19,32.59,Entrepreneurship Cell,4,B,59.15,pass
90.96,8.63,83.88,22.49,Sports,9,A-,100.0,pass
89.97,1.79,98.28,95.75,Volunteering,4,A-,58.74,pass
84.73,8.0,70.15,39.26,Cultural Activity,4,B+,59.98,pass
63.61,5.53,53.91,39.2,Drama/Theatre,9,B,100.0,pass
79.51,3.97,75.39,26.67,Art & Design,8,B,98.42,pass
68.05,1.32,34.79,94.28,Cultural Activity,4,B,58.23,pass
54.58,8.65,92.82,66.38,Technical Club,8,A-,92.31,pass
95.87,1.57,38.36,73.36,Student Council,8,B,90.98,pass
56.84,3.1,52.95,92.93,Student Council,7,B+,89.79,pass
97.51,2.9,87.1,47.65,Club Activity,10,B+,100.0,pass
72.3,8.71,71.81,69.72,Cultural Activity,6,A-,78.71,pass
59.26,6.73,57.55,23.1,Photography Club,8,B,90.04,pass
77.1,7.97,63.14,34.94,Art & Design,7,B+,80.21,pass
93.65,2.5,89.82,86.5,Art & Design,5,A-,64.66,pass
86.61,6.25,53.8,81.34,Volunteering,4,B+,52.39,pass
90.33,5.72,90.88,48.05,Student Council,2,B+,50.0,pass
82.94,8.33,36.17,50.14,Club Activity,8,B+,95.66,pass
84.61,9.06,84.38,62.68,Cultural Activity,9,A,100.0,pass
92.46,0.12,89.33,20.02,Student Council,4,B,51.63,pass
62.48,6.74,42.73,39.3,Student Council,4,B,53.88,pass
74.47,0.52,60.12,36.66,Art & Design,5,C,61.86,fail
61.06,5.49,41.58,40.04,Cultural Activity,2,C,50.0,fail
99.38,2.88,79.46,84.47,Photography Club,7,A-,84.16,pass
97.2,3.07,67.47,42.37,NSS,5,B,60.93,pass
51.97,3.53,74.47,35.32,Photography Club,6,B,74.84,pass
85.28,6.21,43.75,60.34,Cultural Activity,4,B,50.91,pass
96.26,3.34,44.82,89.25,Sports,8,B+,91.29,pass
59.03,7.33,32.9,39.31,Student Council,8,B,92.4,pass
78.4,4.05,52.54,26.28,Volunteering,5,C,68.6,fail
95.77,0.68,69.18,48.51,Entrepreneurship Cell,6,B,79.25,pass
51.7,7.84,90.06,79.81,Entrepreneurship Cell,3,A-,50.0,pass
84.87,2.86,76.68,64.06,NSS,1,B,50.0,pass
64.87,4.33,60.48,85.34,Technical Club,9,B+,100.0,pass
96.22,6.85,96.72,96.77,Club Activity,9,A+,100.0,pass
98.55,3.32,80.35,83.41,Photography Club,3,A-,50.0,pass
97.21,0.57,95.11,68.3,Cultural Activity,4,B+,59.93,pass
73.71,3.74,66.93,59.47,Volunteering,7,B+,81.32,pass
93.1,9.44,48.12,23.21,Technical Club,2,B,50.0,pass
92.23,6.42,33.7,98.75,Technical Club,3,B+,50.0,pass
65.96,6.71,80.83,50.68,Student Council,6,B+,78.32,pass
91.45,6.32,38.49,32.18,Sports,8,B,98.46,pass
51.85,1.99,51.19,73.34,Student Council,1,C,50.0,fail
79.81,4.18,67.27,42.74,Club Activity,4,B,59.54,pass
61.5,7.51,69.51,66.86,NSS,1,B+,50.0,pass
56.03,1.01,72.04,66.94,Photography Club,2,C,50.0,fail
53.85,2.78,41.64,55.66,Art & Design,8,C,99.68,fail
84.81,2.76,56.58,86.89,Drama/Theatre,6,B+,78.47,pass
66.99,4.32,73.2,41.2,NSS,9,B,100.0,pass
86.24,9.8,97.89,55.89,Photography Club,2,A-,50.0,pass
53.27,0.68,80.93,63.02,Club Activity,3,B,50.0,pass
65.76,5.19,94.58,73.09,Entrepreneurship Cell,9,A-,100.0,pass
76.97,1.79,83.35,82.72,Photography Club,9,B+,100.0,pass
89.54,9.71,71.42,51.58,Art & Design,6,A-,71.0,pass
65.94,1.13,43.44,71.68,Technical Club,3,C,50.0,fail
81.29,4.04,76.67,32.05,NSS,5,B,67.52,pass
94.3,7.38,73.64,94.61,Art & Design,2,A-,50.0,pass
80.79,7.05,72.17,50.64,Cultural Activity,7,B+,83.21,pass
61.65,4.23,64.29,78.36,Student Council,10,B+,100.0,pass
51.22,3.47,67.01,21.63,Photography Club,8,C,96.23,fail
93.5,3.98,53.41,36.41,Drama/Theatre,6,B,71.58,pass
51.06,2.64,66.35,58.97,Volunteering,8,B,98.61,pass
93.74,2.05,43.83,90.26,Photography Club,2,B,50.0,pass
76.45,4.83,86.36,62.18,Cultural Activity,3,B+,50.0,pass
96.95,2.69,43.0,94.39,NSS,7,B+,84.68,pass
89.94,2.87,35.95,58.7,Photography Club,10,B,100.0,pass
99.9,6.57,60.54,59.24,Music/Band,1,B+,50.0,pass
67.54,9.69,76.08,29.58,Art & Design,7,B+,80.04,pass
88.36,6.04,60.64,84.21,Technical Club,6,A-,75.32,pass
70.1,0.77,49.37,39.76,Technical Club,8,C,91.07,fail
73.99,0.76,69.07,91.97,Music/Band,7,B+,83.92,pass
81.38,9.51,54.29,92.87,NSS,4,A-,55.89,pass
93.68,2.97,95.3,95.46,Technical Club,3,A-,50.0,pass
99.2,0.92,94.59,61.62,Photography Club,3,B+,50.0,pass
88.41,5.99,65.17,74.17,Sports,4,B+,57.75,pass
70.89,6.24,52.95,82.28,Entrepreneurship Cell,9,B+,100.0,pass
71.07,6.49,81.6,30.48,Technical Club,9,B+,100.0,pass
86.88,2.67,32.57,68.08,Entrepreneurship Cell,2,C,50.0,fail
61.94,0.15,63.23,22.74,Drama/Theatre,5,C,69.6,fail
55.52,9.65,53.54,59.81,Sports,1,B,50.0,pass
67.73,2.51,94.44,32.39,Club Activity,4,B,59.78,pass
64.36,6.76,30.84,34.63,Photography Club,2,C,50.0,fail
64.82,7.07,68.7,49.2,Photography Club,8,B+,98.74,pass
61.68,6.1,81.85,54.59,Club Activity,4,B+,53.07,pass
52.1,3.13,63.95,69.85,Art & Design,5,B,69.39,pass
50.89,2.71,35.98,25.95,Sports,4,C,53.17,fail
99.39,5.98,98.07,60.3,Cultural Activity,5,A-,66.54,pass
71.39,8.66,66.26,34.61,Art & Design,5,B+,60.8,pass
69.22,9.47,72.99,65.92,Cultural Activity,5,A-,62.42,pass
83.98,1.06,46.56,70.99,Drama/Theatre,3,B,50.0,pass
60.91,1.55,63.84,64.54,Student Council,7,B,85.29,pass
97.5,9.45,60.04,79.06,NSS,3,A-,50.0,pass
89.32,7.37,35.24,46.85,Photography Club,2,B,50.0,pass
54.47,8.83,37.43,81.21,Photography Club,3,B+,50.0,pass
70.88,2.03,88.62,54.62,Sports,3,B,50.0,pass
93.96,5.88,46.79,58.73,Music/Band,8,B+,99.79,pass
97.24,7.01,43.65,71.85,Volunteering,4,B+,59.6,pass
73.37,6.8,65.34,21.47,NSS,3,B,50.0,pass
80.67,4.08,83.81,72.32,Drama/Theatre,10,A-,100.0,pass
58.35,0.15,34.34,69.49,Sports,5,C,68.48,fail
99.56,5.83,70.38,44.79,Club Activity,4,B+,52.11,pass
61.58,2.53,38.34,26.86,Photography Club,9,C,100.0,fail
97.14,4.5,32.55,27.27,NSS,8,B,90.73,pass
82.48,9.58,33.69,93.86,Photography Club,7,A-,88.37,pass
80.39,3.99,88.39,75.14,Photography Club,8,A-,91.75,pass
75.63,8.4,38.26,30.17,Photography Club,5,B,60.71,pass
61.53,1.89,33.16,48.54,Cultural Activity,4,C,54.0,fail
58.83,6.72,60.65,67.4,Music/Band,7,B+,85.77,pass
61.02,9.77,89.08,86.85,NSS,1,A-,50.0,pass
59.32,1.02,48.37,23.49,Volunteering,6,C,79.74,fail
88.98,0.08,59.52,38.93,Drama/Theatre,8,B,94.39,pass
67.51,4.34,32.79,91.18,Drama/Theatre,7,B+,80.6,pass
52.89,0.93,61.44,20.73,Art & Design,2,C,50.0,fail
98.46,7.48,70.43,36.11,Photography Club,7,B+,85.65,pass
94.19,9.15,69.96,96.72,Entrepreneurship Cell,6,A,74.48,pass
96.39,4.34,53.27,69.07,Entrepreneurship Cell,5,B+,63.09,pass
99.75,2.59,52.09,40.93,Drama/Theatre,4,B,55.02,pass
58.69,4.34,37.46,25.36,Art & Design,1,C,50.0,fail
69.81,7.23,55.68,22.26,Drama/Theatre,2,C,50.0,fail
87.91,0.09,36.96,39.58,Volunteering,7,C,85.44,fail
84.8,5.89,83.66,90.52,Drama/Theatre,10,A,100.0,pass
57.69,6.13,97.64,53.27,Music/Band,3,B+,50.0,pass
90.79,6.38,97.91,77.63,Student Council,5,A-,62.38,pass
61.22,2.42,90.55,93.46,Photography Club,8,A-,98.51,pass
61.19,7.14,72.06,52.64,Club Activity,8,B+,95.57,pass
76.85,0.91,79.06,35.3,Music/Band,6,B,72.07,pass
79.65,1.99,49.96,61.37,Entrepreneurship Cell,5,B,66.24,pass
79.0,8.77,74.15,92.65,Drama/Theatre,2,A-,50.0,pass
54.57,7.39,61.9,84.35,Sports,9,A-,100.0,pass
93.87,0.14,63.74,25.27,Photography Club,1,C,50.0,fail
63.28,2.48,83.04,75.41,Cultural Activity,2,B,50.0,pass
56.48,2.14,49.73,65.75,Student Council,1,C,50.0,fail
94.44,2.71,52.26,92.6,Club Activity,4,B+,53.96,pass
97.78,2.48,94.72,29.8,Cultural Activity,4,B,59.83,pass
93.11,0.63,33.94,62.72,Photography Club,5,C,68.08,fail
90.48,4.59,63.99,90.36,Music/Band,5,A-,61.6,pass
82.76,7.33,93.9,52.8,Volunteering,8,A-,92.78,pass
77.54,6.07,72.73,58.56,Volunteering,3,B+,50.0,pass
54.35,6.73,68.25,25.64,Cultural Activity,6,B,76.5,pass
70.42,0.81,47.48,42.25,Sports,3,C,50.0,fail
68.63,9.51,54.03,45.96,Cultural Activity,2,B,50.0,pass
62.99,8.38,89.64,95.61,Music/Band,8,A,95.1,pass
86.17,8.05,69.15,42.61,Cultural Activity,1,B+,50.0,pass
74.79,8.23,66.03,56.87,Club Activity,9,A-,100.0,pass
54.05,9.33,36.97,73.7,Photography Club,7,B+,81.24,pass
61.01,5.44,31.12,32.97,Sports,10,C,100.0,fail
84.16,2.0,97.46,58.92,Technical Club,4,B+,59.52,pass
53.81,6.17,56.39,79.08,NSS,3,B,50.0,pass
92.56,7.43,72.22,89.35,Photography Club,6,A-,75.79,pass
74.76,7.38,35.58,70.1,Entrepreneurship Cell,9,B+,100.0,pass
74.03,5.21,77.82,73.52,Technical Club,9,A-,100.0,pass
79.62,0.68,95.28,30.1,Art & Design,4,B,54.28,pass
91.23,3.71,70.3,95.66,Cultural Activity,10,A-,100.0,pass
67.39,9.21,38.83,30.61,Volunteering,5,B,69.77,pass
83.9,5.84,70.72,81.97,Technical Club,9,A-,100.0,pass
78.29,5.38,83.64,41.19,Drama/Theatre,2,B,50.0,pass
63.35,2.69,58.45,94.69,Music/Band,2,B,50.0,pass
93.93,3.68,91.59,77.6,Technical Club,5,A-,64.15,pass
89.87,8.95,75.41,80.31,Student Council,1,A-,50.0,pass
82.92,6.66,92.95,37.52,Sports,8,A-,99.58,pass
92.53,7.87,73.65,55.44,Photography Club,5,A-,64.04,pass
93.36,4.54,39.19,69.43,Music/Band,10,B+,100.0,pass
85.42,6.3,51.68,81.6,Volunteering,2,B+,50.0,pass
91.85,2.48,44.13,28.32,Art & Design,9,B,100.0,pass
84.87,7.05,93.62,96.99,Entrepreneurship Cell,2,A,50.0,pass
84.01,4.28,83.23,91.22,Technical Club,7,A-,87.64,pass
80.93,4.43,77.35,41.63,Sports,8,B+,95.81,pass
87.64,6.49,51.07,85.82,NSS,6,A-,76.26,pass
57.93,9.36,42.88,61.47,Sports,7,B+,80.52,pass
94.04,0.64,82.95,56.94,Sports,1,B,50.0,pass
93.59,8.25,63.19,45.15,Music/Band,4,B+,50.74,pass
51.46,2.92,45.81,66.48,NSS,7,B,82.89,pass
91.29,4.44,73.16,78.39,Sports,1,B+,50.0,pass
56.44,0.22,32.82,52.87,Student Council,1,C,50.0,fail
66.76,3.01,52.83,70.34,Entrepreneurship Cell,6,B,76.12,pass
87.18,5.03,62.8,75.95,Technical Club,4,B+,55.49,pass
58.04,0.56,40.36,76.89,Technical Club,3,C,50.0,fail
90.9,4.91,98.93,24.16,Photography Club,5,B+,62.45,pass
91.61,9.27,44.64,88.78,Student Council,9,A-,100.0,pass
75.37,1.05,39.12,56.66,Technical Club,10,B,100.0,pass
50.32,7.64,44.25,40.99,Sports,10,B,100.0,pass
64.35,4.1,83.83,39.34,Art & Design,10,B+,100.0,pass
80.85,6.55,59.79,58.64,Sports,3,B+,50.0,pass
99.06,2.6,69.58,90.95,Music/Band,5,A-,68.73,pass
81.59,1.59,31.47,50.27,Drama/Theatre,10,C,100.0,fail
62.99,1.6,32.41,79.98,Photography Club,5,C,66.59,fail
81.7,0.7,61.21,27.75,Art & Design,9,C,100.0,fail
77.0,1.86,87.17,58.08,Volunteering,10,B+,100.0,pass
88.99,6.64,91.97,99.33,Volunteering,4,A,59.79,pass
55.35,8.82,36.07,81.64,Art & Design,1,B,50.0,pass
88.05,8.14,67.69,36.84,Sports,10,A-,100.0,pass
77.06,6.85,93.93,60.12,Cultural Activity,5,A-,68.48,pass
98.15,1.1,57.16,38.69,Drama/Theatre,1,C,50.0,fail
67.09,2.89,88.07,52.76,Student Council,6,B+,72.97,pass
81.63,3.1,39.36,82.41,Sports,10,B+,100.0,pass
96.6,2.5,95.48,81.7,Art & Design,10,A-,100.0,pass
55.13,5.15,82.6,38.25,Cultural Activity,7,B,81.11,pass
96.86,5.36,95.89,93.78,Sports,1,A-,50.0,pass
84.39,3.57,77.36,67.41,Cultural Activity,10,A-,100.0,pass
53.39,3.54,55.44,50.39,Art & Design,4,C,58.2,fail
65.05,8.29,95.67,60.15,Sports,9,A-,100.0,pass
85.41,7.89,49.29,68.41,NSS,1,B+,50.0,pass
53.37,3.08,53.25,64.79,Technical Club,9,B,100.0,pass
79.11,9.14,79.06,58.91,Art & Design,8,A-,98.02,pass
67.29,9.53,83.57,60.39,Volunteering,5,A-,67.89,pass
81.05,3.27,95.06,34.11,Volunteering,6,B+,77.6,pass
52.29,3.54,44.34,85.02,Drama/Theatre,7,B,83.49,pass
93.58,5.06,85.86,63.34,Club Activity,4,A-,54.54,pass
98.67,9.41,81.7,30.49,Volunteering,6,A-,75.95,pass
98.44,8.76,34.47,81.29,Club Activity,7,A-,89.74,pass
87.48,1.03,57.11,94.6,NSS,6,B+,73.28,pass
56.5,3.93,49.79,95.78,Art & Design,6,B+,79.23,pass
87.91,5.53,51.31,49.52,Cultural Activity,2,B,50.0,pass
51.23,5.03,98.81,30.84,Photography Club,5,B,69.89,pass
51.11,1.94,74.99,61.47,Drama/Theatre,3,B,50.0,pass
66.18,8.59,80.24,29.01,Technical Club,7,B+,84.64,pass
74.43,6.77,98.36,94.72,Photography Club,4,A,56.13,pass
88.52,8.38,56.4,34.69,Student Council,1,B,50.0,pass
84.16,8.59,86.13,40.22,Club Activity,6,A-,72.74,pass
72.3,7.48,60.42,52.53,Technical Club,6,B+,71.14,pass
63.68,4.39,90.87,50.65,Drama/Theatre,7,B+,81.14,pass
99.86,6.11,42.65,83.57,Drama/Theatre,8,A-,93.48,pass
71.31,1.6,96.34,56.51,Volunteering,3,B,50.0,pass
72.57,6.74,45.31,33.66,Technical Club,6,B,76.08,pass
58.18,1.79,52.84,41.38,Sports,10,C,100.0,fail
89.74,6.94,82.93,60.73,Music/Band,2,B+,50.0,pass
84.68,2.3,57.56,31.8,Drama/Theatre,9,B,100.0,pass
61.04,1.18,72.57,68.93,Club Activity,2,B,50.0,pass
54.12,1.65,61.12,65.26,Photography Club,3,C,50.0,fail
84.02,0.02,81.97,77.18,Student Council,10,B+,100.0,pass
82.73,7.19,45.98,95.02,Student Council,2,B+,50.0,pass
63.66,7.32,34.09,92.98,Entrepreneurship Cell,9,B+,100.0,pass
97.54,5.15,51.0,95.69,Photography Club,1,B+,50.0,pass
57.55,1.61,63.2,39.58,NSS,5,C,60.15,fail
71.62,0.84,41.76,30.53,NSS,1,C,50.0,fail
97.18,0.19,54.84,44.18,Photography Club,5,C,62.52,fail
70.99,1.66,58.0,91.61,Volunteering,8,B+,94.3,pass
81.93,8.91,34.02,97.76,Sports,8,A-,94.87,pass
69.88,2.42,70.83,88.75,Volunteering,8,B+,91.38,pass
